 
,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Arsenal,25,25.0,60.2,26,286,2340,26.0,56,41,97,54,2,2,38,0,50.3,49.0,36.1,85.1,603,1474,2.15,1.58,3.73,2.08,3.65,1.93,1.39,3.32,1.89,3.27
Villa,25,27.6,48.5,25,275,2250,25.0,29,19,48,26,3,3,52,1,30.1,27.9,21.8,49.6,375,819,1.16,0.76,1.92,1.04,1.80,1.21,0.87,2.08,1.12,1.99
Bournemouth,29,26.9,38.5,25,275,2250,25.0,24,18,42,24,0,0,43,0,21.2,21.2,16.8,38.0,313,622,0.96,0.72,1.68,0.96,1.68,0.85,0.67,1.52,0.85,1.52
Brentford,25,26.9,43.7,23,253,2070,23.0,36,21,57,31,5,5,33,0,32.3,28.4,21.1,49.6,233,685,1.57,0.91,2.48,1.35,2.26,1.40,0.92,2.32,1.24,2.15
Brighton,25,27.3,59.1,23,253,2070,23.0,39,25,64,35,4,4,31,0,39.5,36.5,29.0,65.5,471,1137,1.70,1.09,2.78,1.52,2.61,1.72,1.26,2.98,1.59,2.85
Chelsea,32,27.5,58.8,25,275,2250,25.0,24,17,41,22,2,2,54,3,29.8,28.3,22.8,51.1,511,1096,0.96,0.68,1.64,0.88,1.56,1.19,0.91,2.11,1.13,2.05
Palace,24,27.7,44.3,25,275,2250,25.0,20,17,37,20,0,2,61,3,22.6,20.9,16.9,37.9,332,765,0.80,0.68,1.48,0.80,1.48,0.90,0.68,1.58,0.84,1.51
Everton,28,27.1,44.7,26,286,2340,26.0,18,14,32,16,2,2,60,0,28.4,26.8,20.0,46.9,342,708,0.69,0.54,1.23,0.62,1.15,1.09,0.77,1.86,1.03,1.80
Fulham,29,29.0,46.5,25,275,2250,25.0,33,21,54,29,4,7,61,1,31.4,25.9,19.4,45.3,429,822,1.32,0.84,2.16,1.16,2.00,1.26,0.77,2.03,1.04,1.81
Leeds,28,25.6,49.7,25,275,2250,25.0,27,20,47,26,1,2,56,2,31.4,29.9,21.6,51.5,384,959,1.08,0.80,1.88,1.04,1.84,1.26,0.87,2.12,1.19,2.06
Leicester,27,27.0,50.0,25,275,2250,25.0,34,24,58,33,1,2,36,0,30.2,28.6,24.9,53.5,408,932,1.36,0.96,2.32,1.32,2.28,1.21,1.00,2.20,1.14,2.14
Liverpool,27,28.2,59.8,25,275,2250,25.0,43,35,78,43,0,0,33,1,46.0,46.0,36.5,82.5,468,1302,1.72,1.40,3.12,1.72,3.12,1.84,1.46,3.30,1.84,3.30
City,22,27.8,64.2,26,286,2340,26.0,64,49,113,59,5,5,31,1,54.1,50.1,39.8,89.9,688,1483,2.46,1.88,4.35,2.27,4.15,2.08,1.53,3.61,1.93,3.46
United,26,27.6,52.8,25,275,2250,25.0,39,31,70,37,2,2,56,1,39.7,38.2,31.2,69.4,442,978,1.56,1.24,2.80,1.48,2.72,1.59,1.25,2.84,1.53,2.78
Newcastle ,26,28.1,51.0,24,264,2160,24.0,34,21,55,31,3,3,45,1,37.5,35.2,27.6,62.9,412,991,1.42,0.87,2.29,1.29,2.17,1.56,1.15,2.72,1.47,2.62
Forest,33,27.0,40.6,25,275,2250,25.0,19,11,30,18,1,2,53,0,26.4,24.8,19.6,44.4,310,609,0.76,0.44,1.20,0.72,1.16,1.06,0.78,1.84,0.99,1.78
Southampton,31,25.1,43.8,25,275,2250,25.0,20,13,33,20,0,2,50,0,24.0,22.3,18.6,40.9,348,718,0.80,0.52,1.32,0.80,1.32,0.96,0.74,1.71,0.89,1.64
Spurs,27,28.4,50.3,26,286,2340,26.0,44,29,73,42,2,3,53,2,36.7,34.4,27.2,61.6,509,1051,1.69,1.12,2.81,1.62,2.73,1.41,1.05,2.46,1.32,2.37
West Ham,25,28.8,43.6,25,275,2250,25.0,23,12,35,19,4,6,32,0,31.3,27.3,20.2,47.5,405,891,0.92,0.48,1.40,0.76,1.24,1.25,0.81,2.06,1.09,1.90
Wolves,31,27.1,49.3,26,286,2340,26.0,17,10,27,15,2,2,53,4,24.9,23.4,18.5,41.9,439,953,0.65,0.38,1.04,0.58,0.96,0.96,0.71,1.67,0.90,1.61
